song_id,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence,contains_hyphen,contains_feat,is_derived,contains_parentheses,language,num_syllables,avg_chars_per_word,num_uppercase_words,num_lowercase_words,sentiment,num_syllables_missing
2548,36,170733,0.8059999999999999,0.53,0.809,0.0122,9,0.215,-8.222000000000001,0,0.0514,98.88,1,0.804,0,0,0,0,0,6.0,4.666666666666667,2,1,0.0,0
16637,5,154074,0.368,0.7759999999999999,0.171,0.87,3,0.111,-12.828,0,0.0897,81.137,1,0.0764,0,0,0,0,0,2.0,7.0,0,1,0.0,0
4854,52,270000,0.921,0.209,0.181,0.971,10,0.134,-19.989,0,0.0385,76.244,1,0.0333,0,0,0,0,0,4.0,6.5,2,0,0.0,0
3913,37,169240,0.785,0.748,0.394,0.000855,7,0.206,-11.145,1,0.11,119.837,1,0.574,0,0,0,0,0,4.0,9.0,1,0,0.0,0
8603,71,237200,0.139,0.846,0.815,2.19e-06,4,0.131,-4.512,1,0.0761,118.999,1,0.831,0,0,0,0,0,3.0,5.0,2,0,0.0,0
11192,42,218933,0.126,0.75,0.6,0.0214,2,0.0727,-5.518,0,0.0327,126.003,1,0.701,0,0,0,0,0,10.0,5.333333333333333,6,0,0.0,0
12701,52,190000,0.296,0.821,0.387,0.0,7,0.146,-10.859000000000002,0,0.109,111.987,1,0.479,0,1,0,1,1,4.0,4.5,5,-1,0.0,0
13980,12,222213,0.59,0.649,0.659,0.0,4,0.197,-5.331,0,0.066,144.0,1,0.574,0,0,0,0,0,3.0,6.0,2,0,0.35,0
1510,31,172199,0.785,0.88,0.245,3.19e-05,9,0.0979,-10.245,1,0.446,76.006,1,0.638,0,0,0,0,1,2.0,8.0,1,0,0.0,0
18015,69,215306,0.0491,0.511,0.815,0.0,7,0.0826,-3.14,1,0.144,154.514,1,0.586,0,0,0,0,0,4.0,7.0,2,0,0.0,0
5200,32,139093,0.54,0.498,0.555,0.0,4,0.26,-11.577,1,0.0468,184.891,0,0.888,0,0,0,0,1,4.0,3.75,3,1,0.0,0
5280,42,168933,0.586,0.601,0.7659999999999999,0.000903,7,0.347,-13.262,1,0.0466,130.14,1,0.856,0,0,0,0,1,4.0,6.333333333333333,3,0,-0.8,0
6158,62,172265,0.00212,0.7490000000000001,0.922,0.223,5,0.0715,-3.968,0,0.0624,127.993,1,0.365,0,0,0,0,1,3.0,8.0,1,0,0.0,0
5709,52,285413,0.165,0.802,0.725,0.0984,11,0.0782,-3.392,1,0.102,129.984,1,0.347,0,0,0,0,1,4.0,12.0,1,0,0.0,0
8303,56,253165,0.413,0.4920000000000001,0.7,0.00013,8,0.0996,-7.001,1,0.0437,110.741,1,0.605,0,0,0,0,1,4.0,4.5,3,1,0.05,0
16824,67,197546,0.003,0.7879999999999999,0.472,0.0322,0,0.59,-9.021,1,0.0475,130.084,1,0.257,0,1,0,1,0,3.0,10.0,1,0,0.0,0
11542,41,245070,0.174,0.589,0.5,0.00162,5,0.127,-10.054,0,0.0703,70.255,1,0.313,0,0,0,0,0,3.0,5.5,2,0,0.0,0
13303,70,183686,0.994,0.565,0.0843,0.947,5,0.12,-24.145,1,0.0448,86.022,0,0.44,0,0,0,0,1,3.0,4.5,2,0,0.0,0
11818,58,204060,0.0574,0.838,0.573,0.0,1,0.104,-6.279,1,0.275,85.493,1,0.346,0,1,0,1,1,1.0,6.0,4,-3,0.0,0
16585,37,169760,0.242,0.546,0.889,0.000302,7,0.0683,-3.439,1,0.0857,187.563,1,0.918,0,0,0,0,0,4.0,4.5,2,0,0.0,0
8091,73,188666,0.112,0.722,0.901,0.0,11,0.0674,-3.66,0,0.105,143.401,1,0.963,0,0,0,1,1,2.0,5.5,5,-3,0.35,0
4544,10,160760,0.116,0.84,0.458,2.05e-06,1,0.1,-7.144,1,0.0602,114.034,1,0.188,0,0,0,0,0,3.496065437978878,5.0,2,0,0.0,1
1370,64,168849,0.327,0.495,0.444,5.39e-06,5,0.269,-8.617,1,0.0276,105.431,1,0.65,0,0,0,0,1,2.0,11.0,1,0,0.0,0
6671,58,183723,0.0485,0.606,0.911,0.0,1,0.334,-3.6010000000000004,0,0.129,113.933,1,0.742,0,0,0,0,0,3.0,6.5,1,1,0.0,0
11256,41,188920,0.74,0.625,0.939,0.101,2,0.188,-5.278,1,0.0334,102.948,1,0.759,0,0,0,0,0,3.0,3.6666666666666665,3,0,0.0,0
7103,15,217508,0.0427,0.846,0.677,0.585,7,0.0803,-7.602,1,0.255,160.02100000000004,1,0.7140000000000001,0,0,0,0,1,3.0,4.333333333333333,3,0,0.0,0
18518,57,220714,0.118,0.818,0.675,1.65e-05,11,0.262,-4.176,1,0.0655,139.977,1,0.47,0,0,0,0,1,4.0,5.0,4,0,-0.2916666666666667,0
614,65,221413,0.662,0.561,0.42,2.6e-06,4,0.186,-7.79,1,0.0272,72.319,1,0.27,1,0,1,0,1,5.0,4.4,6,-1,-0.3958333333333333,0
15124,56,183515,0.0823,0.794,0.6459999999999999,0.0,4,0.0918,-7.249,1,0.264,150.025,1,0.478,1,0,1,0,0,2.0,8.0,1,0,0.0,0
15121,20,215391,0.133,0.846,0.629,0.0,0,0.0867,-4.475,1,0.115,120.051,1,0.7120000000000001,0,0,0,0,1,3.0,4.0,3,0,0.0,0
3262,24,341000,0.391,0.352,0.414,0.00831,4,0.185,-6.6,0,0.0254,60.042,1,0.0688,0,0,0,0,1,2.0,6.0,1,0,0.0,0
16749,38,147434,0.297,0.5660000000000001,0.848,0.0,8,0.0681,-4.499,1,0.0918,162.518,1,0.884,1,0,1,0,1,4.0,7.5,3,-1,0.0,0
5006,26,141946,0.71,0.588,0.37,0.0,1,0.139,-13.494000000000002,0,0.0341,126.409,1,0.7390000000000001,0,0,0,0,1,4.0,4.25,4,0,0.0,0
2602,55,257813,0.0792,0.743,0.899,7.75e-05,2,0.0838,-5.675,1,0.0688,111.98,1,0.265,0,0,0,0,1,2.0,7.0,1,0,0.0,0
14239,77,224000,0.259,0.7609999999999999,0.685,2.92e-06,5,0.115,-9.796,0,0.125,103.949,1,0.596,0,0,0,0,0,3.0,11.0,1,0,0.0,0
4938,58,225146,0.677,0.654,0.24,0.00649,10,0.0784,-15.692,1,0.0288,83.01299999999998,0,0.246,0,0,0,0,1,4.0,3.5,4,0,0.0,0
8811,69,246600,5.629999999999999e-05,0.579,0.865,0.000221,6,0.649,-4.692,1,0.0302,104.99,1,0.358,0,0,0,0,1,2.0,5.5,2,0,0.1,0
1941,81,231920,0.0066599999999999,0.745,0.466,0.35,4,0.272,-7.62,0,0.0864,123.889,1,0.303,0,0,0,0,1,5.0,5.666666666666667,3,0,0.0,0
8862,77,230013,0.13,0.659,0.902,9.45e-05,7,0.0574,-6.192,1,0.0296,124.985,1,0.809,0,0,0,0,1,4.0,4.0,3,1,0.5,0
18623,55,247186,0.952,0.269,0.122,0.0,1,0.0915,-10.408,1,0.0334,83.96700000000001,1,0.118,0,0,0,0,1,4.0,6.0,3,0,0.0,0
14074,48,260293,0.000737,0.568,0.868,0.00291,2,0.118,-6.112,1,0.0975,178.05700000000004,1,0.62,0,0,0,0,1,5.0,4.0,5,0,-0.0318181818181818,0
15378,60,307200,0.585,0.688,0.614,0.0,9,0.0978,-9.247,1,0.0378,176.396,1,0.852,0,0,0,0,0,5.0,7.0,2,0,0.0,0
7974,14,210900,0.0012,0.38,0.873,0.439,7,0.339,-7.3679999999999986,1,0.594,140.005,1,0.377,0,0,0,0,0,1.0,4.0,1,0,0.0,0
10944,51,205468,0.618,0.8170000000000001,0.482,0.000334,6,0.161,-6.715,1,0.064,95.992,1,0.612,0,0,0,0,0,2.0,5.0,1,0,0.0,0
12569,38,152136,0.0169,0.765,0.813,0.0232,2,0.0578,-3.735,1,0.0604,159.936,1,0.773,0,0,0,0,1,4.0,4.25,4,0,0.0,0
9838,36,219911,0.53,0.782,0.466,0.0,9,0.0861,-3.548,1,0.105,70.997,1,0.454,0,0,0,0,0,2.0,3.0,0,2,0.0,0
8206,57,166466,0.197,0.6920000000000001,0.633,0.0,0,0.0929,-7.733,1,0.0291,126.812,1,0.965,0,0,0,1,1,6.0,5.0,7,-3,0.0,0
10706,58,50508,0.87,0.721,0.175,0.902,7,0.107,-12.387,1,0.0717,80.965,1,0.632,0,0,0,0,0,8.0,8.5,2,0,0.0,0
831,36,228800,0.312,0.5770000000000001,0.665,8.89e-05,5,0.138,-5.572,1,0.0285,101.807,1,0.305,0,0,0,0,0,3.0,5.0,2,0,0.0,0
1733,36,203242,0.0154,0.684,0.852,6.51e-05,11,0.251,-5.4110000000000005,1,0.141,107.9,1,0.687,0,0,0,0,0,3.496065437978878,7.0,1,0,0.0,1
1192,76,201173,0.159,0.5770000000000001,0.7559999999999999,0.000232,2,0.249,-5.82,1,0.115,176.75,1,0.6629999999999999,0,0,0,0,1,7.0,5.0,4,2,0.0,0
12555,49,191280,0.0461,0.7340000000000001,0.8590000000000001,0.00597,9,0.267,-4.228,1,0.0585,121.996,1,0.737,0,0,0,0,1,3.0,4.333333333333333,3,0,0.0,0
907,81,304600,0.303,0.868,0.6459999999999999,0.0,1,0.284,-4.674,0,0.288,88.641,1,0.67,0,0,0,0,0,3.496065437978878,5.0,2,0,0.0,1
3537,61,140116,0.306,0.779,0.5720000000000001,0.7390000000000001,4,0.106,-9.259,1,0.0396,114.994,1,0.967,0,0,0,0,1,4.0,3.75,3,1,0.0,0
2025,47,157206,0.421,0.607,0.561,0.0,9,0.298,-10.099,1,0.0425,127.638,0,0.841,1,0,0,0,0,3.496065437978878,2.0,3,-2,0.0,1
5666,54,234706,0.142,0.743,0.858,5.78e-06,7,0.311,-5.836,1,0.0369,104.815,1,0.917,0,0,0,0,0,3.0,3.5,2,0,0.0,0
4103,31,218260,0.0301,0.964,0.555,0.000567,5,0.128,-6.245,0,0.0499,130.017,1,0.338,0,1,0,1,0,3.0,10.0,4,-3,0.0,0
7543,70,226506,0.261,0.675,0.545,0.0,7,0.162,-5.614,0,0.0443,60.048,1,0.445,0,0,0,0,0,3.496065437978878,6.0,2,0,0.0,1
2060,70,149373,0.6609999999999999,0.55,0.8540000000000001,0.0,3,0.112,-5.968,1,0.036,159.231,1,0.965,1,0,1,0,1,2.0,7.5,2,0,0.0,0
16715,37,365480,0.00327,0.485,0.7170000000000001,6.07e-06,7,0.633,-9.63,1,0.0309,84.74700000000001,1,0.727,1,0,1,0,0,2.0,5.0,2,-1,0.0,0
3146,61,145986,0.0507,0.897,0.293,3.91e-05,1,0.1,-8.771,1,0.171,145.029,1,0.204,0,0,0,0,0,2.0,6.0,0,1,0.0,0
8344,53,200533,0.245,0.316,0.828,0.000356,0,0.158,-5.313,1,0.0376,136.899,1,0.356,0,0,0,0,1,11.0,6.666666666666667,6,0,0.0,0
15320,42,168786,0.8740000000000001,0.541,0.713,0.00015,2,0.114,-9.514,1,0.0504,100.712,1,0.92,0,0,0,0,0,5.0,6.0,2,0,0.0,0
17688,1,274825,0.311,0.544,0.626,0.0,2,0.106,-9.544,0,0.334,79.101,0,0.399,0,0,0,0,0,2.0,4.0,1,0,0.0,0
6758,54,253439,0.0818,0.731,0.675,0.168,5,0.201,-7.2879999999999985,1,0.0412,125.044,1,0.947,0,0,0,0,0,5.0,5.0,3,0,0.0,0
295,63,147893,0.229,0.494,0.6659999999999999,5.69e-05,9,0.0469,-9.743,0,0.0351,140.832,1,0.6990000000000001,0,0,0,0,1,4.0,4.5,3,1,0.35,0
